发你麻痹的图片 死了马嘛,大家伙不要删别人评论，自己写自己的就好，有没有禁止删除权限！！！快加上，速度上g**hub同步 我还原回去了大家重新更新,,xdm建议各自下载保存一下各个版本，做好备份，以防删表，下载版本建议以日期时分秒来备份,xdm建议各自下载保存一下各个版本，做好备份，以防删表，下载版本建议以日期时分秒来备份,哪些公司在裁员啊，汇报一下,别jb还原了！！！！,已经是最高权限了，加个禁止删除的权限,,,,,,,,,,,,,,,,,,,
"魅族安全

BJCA",无魅友，不魅族,,,,,,,,,,,,,,,,,,,,,,,,,
极安云科,培训讲师待遇不错,听说老板挺帅,吊毛老师上课抽烟，但讲的都是干货,吊毛吊毛哥,,,,,,,,,,,,,,,,,,,,,,
安信天行,"国企，待遇非常好，都来，
傻逼公司，应届别来钱少活儿多，应届不如狗。",没听说过,,,,,,,,,,,,,,,,,,,,,,,,
天空卫士,狗屎产品,,,,,,,,,,,,,,,,,,,,,,,,,
亿格云,,,,,,,,,,,,,,,,,,,,,,,,,,
字节-火山,垃圾src,,,,,,,,,,,,,,,,,,,,,,,,,
湖南金盾,细说金盾<经常在各类比赛排名前列看到,细说,,,,,,,,,,,,,,,,,,,,,,,,
海峡信息,,,,,,,,,,,,,,,,,,,,,,,,,,
公安三所,出来说话！！，咋不把一到九都拉出来,谁加的 说话！,拿着战狼的身份，干着刘华强的事儿,maya,细说，北京工作强度高不高，忙不忙,,三所做生意的，没啥可怕的，生意经做的比自己职责都棒,,,,,,,,,,,,,,,,,,,
麻豆传媒,哪可以投简历？,怎么进？求资源,哪里可以投简历 速,去当男主角,工作强度有点高，建议不来！,,,,,,,,,,,,,,,,,,,,,
沈阳深蓝,今年有没有1.5，有没有懂的,虽然给的钱相对不高，但是能保证打到钱,钱一般 但不会拖欠，面试只看你应急和java 其它都不怎么看。针对性看看就行，这俩不会你MSRC 第一也过不去,,,,,,,,,,,,,,,,,,,,,,,
安洵信息,最近是不是出瓜了,<官网都无了还发,ktv扶贫,都g了，还发,,,,,,,,,,,,,,,,,,,,,,
中信网安,妹子挺漂亮的,<上图片,看看图片,搞快,马上，别急,,,,,,,,,,,,,,,,,,,,,
四叶草安全,西安本土想进四叶草，有没有在职佬讲讲,狗都不去垃圾公司，安服主管真的太傻逼,薪资低的可怕,明年上市，未来可欺,,,,,,,,,,,,,,,,,,,,,,
北京华云安,23年底刚裁员加降薪30%，一天okr pbc各种考核，实际就是领导一句话说了算。日报周报不停 别问 问就是不建议来,没有年终奖，没有项目奖金，人不多，内斗还不少的垃圾公司,,,,,,,,,,,,,,,,,,,,,,,,
江苏天创科技,面试不开摄像头被拦了，逆天,,,,,,,,,,,,,,,,,,,,,,,,,
河南宝通测评,什么垃圾公司，董事长还是个老赖，还拖欠工资，年底就发200块钱年终奖,,,,,,,,,,,,,,,,,,,,,,,,,
中国移动,天天耕耕你,下周又要耕了 哥们都怎么办啊,耕你🐴天天耕，还必须高危漏洞,外包不让喝水，中午不许坐着得站着睡觉     <离谱,-->外包驻场中午不许干活，客户都在午休，还是挺不错的哥们,,去就当🐮🐎,谁去谁煞笔，耕你🐴呢天天耕，哪里有那么多洞可以挖的？,日你嘛天天让他妈安服给你整理项目！cao,春耕要开始了哦,春耕启动！,纯🐮🐴,,,,,,,,,,,,,,
密思听科技,不给试用EDR 说是吊打CS、S1、ATP、CB （放屁屌打 但是还是得骂一嘴CS的垃圾EDR ,真的扣,国内最屌的EDR没有之一,"屌不屌来个试用看看啊 拿不到都白扯 
还不如看看被360收购的瀚思","垃圾EDR可见性垮的一批，什么测试都没打过
",,,,,,,,,,,,,,,,,,,,,
知道创宇,狗都不去的地方,待遇非常好！！！！！都快来啊！！！！,能内推吗,人都跑没了,,,,,,,,,,,,,,,,,,,,,,
中国联通,安全行业中的翘楚！,翘你妈,,,,,,,,,,,,,,,,,,,,,,,,
皮蛋科技,"什么玩意，没听说过       

1",👈告哦你别不服气，有没有听说过青龙帮？,,,,,,,,,,,,,,,,,,,,,,,,
郑州云智信安,有没有兄弟说一下这个啊,,,,,,,,,,,,,,,,,,,,,,,,,
安全狗, ,hvv工资低的一批,整不明白,薪资低，领导不懂安全，只想白嫖别人产品 （产品不是抄青藤的吗？）,hw甲方差点忘了感谢这个厂商,,,,,,,,,,,,,,,,,,,,,
国网电力,这是一年内部八次演习的那个国家电网嘛？,这不全是外包吗,打个比赛全靠z弊,挖首发要么不是我们的，实锤资产又未知原因忽略，重大漏洞需要省公司去总部跑关系才能认定,,,,,,,,,,,,,,,,,,,,,,
浙江六久科技,垃圾公司，工资低，臭外包,一个人当两个人用，两个人发一个人的工资，工资是没有的，领导是开好的喝好的,"
“年会不能停
”",,,,,,,,,,,,,,,,,,,,,,,
思而听,男同聚集地。,南通福音,群友都很香，老板人很好，工作很轻松，喜欢贴贴,有男娘吗,👨‍👨‍👦‍👦父子满堂,没啥技术,,,,,,,,,,,,,,,,,,,,
神州数码,学生说话,200W买国一等毕业就是D类人才补贴拿100W 秒了有什么好说的 安全不是打打杀杀 而是人情世故！,<真这么强？~，你好，100w哪里领,特定省可以领 技能大赛一等奖评D类人才,技能大赛比的就是学校资源，内幕太深了,有没有打信息安全管理与评估赛项的，加个好友交流交流呗nslookup_0x,交流啥。交钱就行了。给钱了题目答案都有。比赛开始就照着wp做题。你拿什么打。说服老师学校给钱 给少了只给答案md5  给够了才给题目答案 最好一步到位,比赛你是几等奖是内定好了的,确实，只要学校有钱，肯买设备。包省一,我校主办方。买设备都拿不了省一。拉几个大一不会安全的都能一等奖 中职上来的赛棍也得被吊打,有今年国赛的佬？,垃圾公司专坑学生,,,,,,,,,,,,,,
山东维平,有没有大佬介绍下,,,,,,,,,,,,,,,,,,,,,,,,,
山东新潮,众爱卿怎么不发言？,,,,,,,,,,,,,,,,,,,,,,,,,
青岛速科,,,,,,,,,,,,,,,,,,,,,,,,,,
道普信息,卷王,道普确实卷,,,,,,,,,,,,,,,,,,,,,,,,
斗象科技,已知两大业务，一个freebuf，一个漏洞盒子。还有自己的实验室,有两个大爹,,,,,,,,,,,,,,,,,,,,,,,,
九域信息,傻逼九域，去年HW钱现在还不结,公司经营存在问题,,,,,,,,,,,,,,,,,,,,,,,,
神州泰岳,垃圾公司专坑学生,,,,,,,,,,,,,,,,,,,,,,,,,
喜数信息,缺api网关产品经理 薪水还不错 ，但是b事超级多 老板喜欢掺合,,,,,,,,,,,,,,,,,,,,,,,,,
卓望科技,,移动的儿子,,,,,,,,,,,,,,,,,,,,,,,,
,有没有门槛比较低的公司啊？技术不太行, 送外卖吧，技术不行去哪都一样,"来美团吧 内推你

网安已死，转行干滴滴吧",,,,,,,,,,,,,,,,,,,,,,,
卓望,,,,,,,,,,,,,,,,,,,,,,,,,,
金睛云华,全流量设备赚了一个亿，但跟我们公司合作，差评,,,,,,,,,,,,,,,,,,,,,,,,,
零零信安,,,,,,,,,,,,,,,,,,,,,,,,,,
青藤云,去年9月把安服全裁了，只留下驻场的了,学历歧视,垃圾公司,,,,,,,,,,,,,,,,,,,,,,,
安赛创想,,,,,,,,,,,,,,,,,,,,,,,,,,
山东渔翁,,,,,,,,,,,,,,,,,,,,,,,,,,
冬瓜科技,,,,,,,,,,,,,,,,,,,,,,,,,,
南京树安信息,,,,,,,,,,,,,,,,,,,,,,,,,,
敦和安全,,,,,,,,,,,,,,,,,,,,,,,,,,
烽台科技,,,,,,,,,,,,,,,,,,,,,,,,,,
卫士通,探,一坨💩,,,,,,,,,,,,,,,,,,,,,,,,
棱镜七彩,我一进来就找这个厂，没找到我就自己加上了！,,,,,,,,,,,,,,,,,,,,,,,,,
DARKNAVY,听说待遇不错,,,,,,,,,,,,,,,,,,,,,,,,,
艾戈科技,hvv结款爽快,<有渠道吗,,,,,,,,,,,,,,,,,,,,,,,,
海云安,,,,,,,,,,,,,,,,,,,,,,,,,,
知其安,"听说知其安的实习生的能力堪比上面殿堂里面的天才
",,,,,,,,,,,,,,,,,,,,,,,,,
寻臻科技,创业公司，融资情况怎么样啊？,,,,,,,,,,,,,,,,,,,,,,,,,
北京宽广智通,"公司内部整体，中规中矩比较和谐。tmd，日了狗了sb
上级领导天天让写测试报表，也不说诉求交上去就不同意不合领导心意",把人当牛马，纯牛马,,,,,,,,,,,,,,,,,,,,,,,,
云起无垠,昨天刚面，有很多模糊测试岗，面试官小姐姐说公司目前只有几十个人。开发岗基本都是go语言，从字节过来的员工。目前还在天使轮融资,,,,,,,,,,,,,,,,,,,,,,,,,
思维世纪,插个眼,垃圾公司，扣员工工资,,,,,,,,,,,,,,,,,,,,,,,,
"飞佛

赛博昆仑",,,,,,,,,,,,,,,,,,,,,,,,,,
安美勤,垃圾公司,打地市虎王，rm就是蝗虫，几百万IP几天就给日完了,哦，垃圾公司,安没钱,,,,,,,,,,,,,,,,,,,,,,
孝道科技,,,,,,,,,,,,,,,,,,,,,,,,,,
边界无限,,,,,,,,,,,,,,,,,,,,,,,,,,
中科磐云,"具体见98行。一个屌样 反正中职培训。技术人员就明说建立校企实验室 多少个W给你们一等奖。明码标价 培训就是推销设备&&比赛名次&&对应的价格

",,,,,,,,,,,,,,,,,,,,,,,,,
中国网安,啥公司,,,,,,,,,,,,,,,,,,,,,,,,,
新疆美创,公司挺好的，欢迎大家加入，跳槽的过来，网络安全数据安全都可以，会等保和渗透的优先，薪资好说,有联系吗？,,,,,,,,,,,,,,,,,,,,,,,,
山东同域,,,,,,,,,,,,,,,,,,,,,,,,,,
"山东瑞畅
","22年的hw工资没结，准备给他麻麻买骨灰盒
",,,,,,,,,,,,,,,,,,,,,,,,,
北京国舜,不涨薪，克扣绩效，降低福利，无补贴,,,,,,,,,,,,,,,,,,,,,,,,,
武汉安域,牛马中心，应届生杀手,是真的辣鸡,别什么辣鸡都往这填阿,,,,,,,,,,,,,,,,,,,,,,,
"战支
",很爽快,,,,,,,,,,,,,,,,,,,,,,,,,
广西网信科技,"福利是真不错

钱多事少离家近",实习完就开,,,,,,,,,,,,,,,,,,,,,,,,
百达智慧,司马公司，最近裁了90%人，倒闭了,全都给我干掉,,,,,,,,,,,,,,,,,,,,,,,,
瑞星,,,,,,,,,,,,,,,,,,,,,,,,,,
江民,,,,,,,,,,,,,,,,,,,,,,,,,,
沈阳森烨,垃圾中的垃圾,吃相真tm难看,死妈玩意,操死你个妈,,,,,,,,,,,,,,,,,,,,,,
轻网科技,🐕都不去,恶心，白嫖几个月，不给i转正，天天画大饼想上市，上你mdgp，垃圾玩意,,,,,,,,,,,,,,,,,,,,,,,,
江西掌控者,搞培训的,,,,,,,,,,,,,,,,,,,,,,,,,
大方电子,,,,,,,,,,,,,,,,,,,,,,,,,,
江西诚韬,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳开源网安,中层宫斗剧，关系户多，培训公司,搞培训割韭菜,,,,,,,,,,,,,,,,,,,,,,,,
浪潮信息,有没有大佬在，这个公司怎么样,"国护内网一堆红队互相帮助。



也算是知名厂商了",浪潮不是卖服务器的吗，咋跑这来凑热闹,辣鸡！,,,,,,,,,,,,,,,,,,,,,,
中国电信,这个第二个不就是吗，别加了,,,,,,,,,,,,,,,,,,,,,,,,,
"江苏金盾

怎么没人写等保公司呢",V V king,,,,,,,,,,,,,,,,,,,,,,,,,
中龙技术,"中介公司，空壳
",,,,,,,,,,,,,,,,,,,,,,,,,
河南信安世纪,"出来说话！
垃圾公司",不推荐,,,,,,,,,,,,,,,,,,,,,,,,
"武汉友创精诚

江西和尔惠",冲就完了，回款快钱多老板好,垃圾公司还煞笔 22年hvv就🕊️我,,,,,,,,,,,,,,,,,,,,,,,,
江西和尔惠,搞培训割韭菜骗补贴的别来,,,,,,,,,,,,,,,,,,,,,,,,,
江西中和证,江西本土安全公司,,,,,,,,,,,,,,,,,,,,,,,,,
四维创智,Yakit YYDS,yakit yyds,,,,,,,,,,,,,,,,,,,,,,,,
2345,牛皮藓都没我牛,傻逼不要拖动表格宽度,6,6,,,,,,,,,,,,,,,,,,,,,,
广州盈基,,,,,,,,,,,,,,,,,,,,,,,,,,
上海安询,这玩意上边有,,,,,,,,,,,,,,,,,,,,,,,,,
美团安全,,,,,,,,,,,,,,,,,,,,,,,,,,
快手安全,不错,,,,,,,,,,,,,,,,,,,,,,,,,
北方实验室,,,傻逼不要拖动表格宽度,傻逼不要拖动表格宽度,,,,,,,,,,,,,,,,,,,,,,
"安天
",安天有无实习岗,有,> where,,没有大公司的命，得了大公司的病,,,,,,,,,,,,,,,,,,,,,
广州德科信息,电网外包工资低,,,,,,,,,,,,,,,,,,,,,,,,,
"小迪安全

中国信息安全测评中心","培训没什么,傻逼徒弟多",前面说的对,都是基础课,基础NO1，人备课还是挺负责的，都直播讲解,,2888可以玩240次,,,,,,,,,,,,,,,,,,,,
CNTD,,,,,,,,,,,,,,,,,,,,,,,,,
中国信息安全测评中心,想不想吃饭了，挂测评中心,,,,,,,,,,,,,,,,,,,,,,,,,
工业和信息化部,不合适吧  牛逼,ICP查询网站能不能修修，三天两头爆炸,,,,,,,,,,,,,,,,,,,,,,,,
国家工业信息安全研究中心,,,,,,,,,,,,,,,,,,,,,,,,,,
小闽信安,,,,,,,,,,,,,,,,,,,,,,,,,,
火线安全,iast 团队解体了，前场后场离职一大堆，核心开发，产品经理都跑路了，前场各种抢客户，自己人对自己人背后下刀子，合并听云产品bug一大堆，原产品几乎不维护，不更新,刚开始烧投资人钱 没钱了现在GG 马上凉凉 去年都听说资金链不行了 幸好没去哈哈,,,,,,,,,,,,,,,,,,,,,,,,
星阑科技,一端时间裁一波安全，怎么还没死,,,,,,,,,,,,,,,,,,,,,,,,,
奇安优服,准备跑路HR来电话让晚点走，提前走了给你离职证明上面加东西,<--还好没去hhhhh,,,,,,,,,,,,,,,,,,,,,,,,
贝特,黄埔军校没人说？？？,重庆人自己的黄埔军校,,,,,,,,,,,,,,,,,,,,,,,,
"中国信息安全测评中心

巽诺",白票怪,,,,,,,,,,,,,,,,,,,,,,,,,
四川信达中创科技,,,,,,,,,,,,,,,,,,,,,,,,,,
科来,流量分析很不错,,,,,,,,,,,,,,,,,,,,,,,,,
"巽诺

国网思极网安",,,,,,,,,,,,,,,,,,,,,,,,,,
赛迪,,,,,,,,,,,,,,,,,,,,,,,,,,
"云思科技

day1",,,,,,,,,,,,,,,,,,,,,,,,,,
,"准达上面有了，别加了

虽说结账还行，但吃得太多了",外包公司 麻蛋天天BOSS上面找我,,,,,,,,,,,,,,,,,,,,,,,,
"西安长盛信安

北京磐石安",四叶草的,,,,,,,,,,,,,,,,,,,,,,,,,
北京磐石安, 只听说过他们hw 招人  结钱速度也还可以  不知道公司内部啥样,,,,,,,,,,,,,,,,,,,,,,,,,
day1培训,这培训咋样能报吗，细说--------》, 别报 报了就是大怨种,那src挖不出来咋办啊,,,,,,,,,,,,,,,,,,,,,,,
河南宁云志,"hw招人，不能说结款最快吧，但可以说是我觉得
最靠谱的一个，老板大气，对员工好。",,,,,,,,,,,,,,,,,,,,,,,,,
郑州云诚,·,这个我面试过，年薪7*12，要求挖0day。面试官还特意吐槽了我的学艺不精。,,,,,,,,,,,,,,,,,,,,,,,,
天津兴先道,,,,,,,,,,,,,,,,,,,,,,,,,,
赛宁网安,,,,,,,,,,,,,,,,,,,,,,,,,,
赛宁网安,又发不起工资了,,,,,,,,,,,,,,,,,,,,,,,,,
湖北珞格,白天测评，晚上加班写报告，武汉初级给5K，中级7-9，提成还可以，公司内斗才结束,,,,,,,,,,,,,,,,,,,,,,,,,
大余安全,100个靶机 几千块,笑死,韭菜,,,,,,,,,,,,,,,,,,,,,,,
中资网安,,,,,,,,,,,,,,,,,,,,,,,,,,
三零卫士,,,,,,,,,,,,,,,,,,,,,,,,,,
悬镜安全,,,,,,,,,,,,,,,,,,,,,,,,,,
"昭通早行

南京拓界

大佬们给个学习路线

成都愚安科技",好好好,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省测评中心,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州中尔,,,,,,,,,,,,,,,,,,,,,,,,,,
赛宁网安,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
南京拓界,,,,,,,,,,,,,,,,,,,,,,,,,,
航天信息(广东)有限公司  ,一个人的安全部门，桌面运维和行政岗内容都是安全做，现在搞工时制度，免费加班，纯纯恶心人,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"微步卡学历？                             < 2022 没卡
<HR负责人不是阿里出来的吗？会不卡？",,,,,,,,,,,,,,,,,,,,,,,,
